District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Season_enc,District_enc,Crop_enc,Production_log
Lakshmipur,Rabi,Banana,3250,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,185.75631313131316,12432,2,31,4,9.428109506952937
Lalmonirhat,Rabi,Banana,277,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,179.6013888888889,3001,2,32,4,8.007034012193408
Madaripur,Rabi,Banana,1584,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,160.41666666666666,12195,2,33,4,9.408863308108145
Manikganj,Rabi,Banana,601,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,169.94262295081967,1966,2,35,4,7.584264818389059
Moulvibazar,Rabi,Banana,269,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,1423,2,37,4,7.261225091971921
Munshiganj,Rabi,Banana,170,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,169.94262295081967,647,2,38,4,6.473890696352274
Narail,Rabi,Banana,638,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,134.2247474747475,4394,2,41,4,8.388222810119277
Narayanganj,Rabi,Banana,195,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,169.94262295081967,1000,2,42,4,6.90875477931522
Netrokona,Rabi,Banana,804,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,181.08838383838383,4588,2,45,4,8.431417414394833
Nilphamari,Rabi,Banana,439,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,179.6013888888889,3672,2,46,4,8.208764045819667
Noakhali,Rabi,Banana,1212,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,185.75631313131316,3493,2,47,4,8.158802490694002
Pabna,Rabi,Banana,756,100.23,82.01,50.05,5.98,25.0,15.0,35,80.0,85,75,124.92,5564,2,48,4,8.624252263709645
